Address,NFT Count,YAY Reward
0xeA911a4588b36aEb1DAb90ae3FB58b6c44a37191,5,5
0x499BCA2dC90BF46051b466Cd4a04a1Deb100848A,5,5
0xeDd10452d1f0Bd08889D13078860eDbA7FFF3DBd,5,5
0x5C9eEAD6567c2EF31274360328cE6aA13f870F8D,5,5
0x47958b40a8a41AEdEbABBd4C8494fD19f24D775E,5,5
0xF70F9dc8B0209A1f83Ed2bF026694a6Db8C56FBe,5,5
0x99c11D0E6e131Cd110256F283Aefd831841E302d,5,5
0x73a846ED8090fc0601D0A2241AC71243ec8D8006,4,4
0x7f284D2167b3bB8D8F6669593F4C24e752B54812,4,4
0x9126D16C97eA222f29760196905021eDbcd41018,4,4
0x9F1E4ec7Dc5A949E11AEEa851Ed7c79B28373aeD,4,4
0xbd303302B461DE1EE23f2c09Df438Cb282eA641a,4,4
0xf3B8E49cCf9e34b22CDf6333445C0ae1DA74897E,4,4
0x306e39E81b6cF43149fF43e62D8bc8A86687a747,4,4
0x85D4b10812204B5AD1E05Dd8Ce5c5384E583d4E2,4,4
0x0D2188ca4207990dAfD82c2Dbaf9677E4D87F98c,4,4
0xd381932EF72fcA51a6a23ffdd3B5e344F63E2B89,4,4
0x8DB9875668A3e609BEEf552aDC3796B3DF496304,4,4
0xB6BFdaf36a2a74992E52eb8843675f36C83cD838,4,4
0x574634b6128063b3F440cE93487AcA100eC119ac,4,4
0x79721c4F9Fd061934be40b28c4197136f24f20dB,4,4
0x991569f3B4D3933D2E37Ba2d1080aa229A036Bf2,4,4
0x3a3a7ab9073FEE443e2456593410c707BBb0ba44,4,4
0x828453d3D7664A948b5762Ac8E584E988B3104d2,4,4
0x29993EdB5d3bC955E67C2B92bdc91BA0cFE1190A,4,4
0xEb3F13E5d0d36F0ab112f4CBd8b32cA0496AA5a9,4,4
0xA1fa4aD9E365E1f491Fde46DF2C6b7b7d9A5D30E,4,4
0x6Eb76916EE25B1BE99aC279f5E058AdB69492701,4,4
0xe1d27A7d6ca4EA96B4712d250192008fb038EFd6,4,4
0x3F2e5CFf06b9E7f1C33f3C3112D17530fD0D08D6,4,4
0xE9b5d3cF42B91BEe37A253FBFa56c35ab2CF125F,4,4
0x4fE7e5D935e5BC1a9E97219d67d61DcC174b63d3,4,4
0x6f24BbFc55571b9782e86f976100d49De800cD8E,4,4
0xB4C3a8Ca8fE617a990df8ad7D8307642161cd074,4,4
0x70BB840BEa60F843998190BFDDCDDF1B6D68613f,4,4
0xCbc415BA5aD03f04c5F3010dA4bedA5e0F7E81C9,4,4
0x9E792C263B13b28484615030ebaF944757fC1d2B,4,4
0xBDB969A121D3Bd526D90996D426e815C1e88652B,4,4
0x27a8A75c2F35b41De3501414ceF8B3b116B2703F,4,4
0x1fc8aeD6869C7F48c64b8f01dcf6A35C8F1C9086,4,4
0x22519705Fa44D31386E2063b82c07e36e78ede86,4,4
0xeef999C151C3A51acf4CD90D5415b33ef53B3970,4,4
0x2DcADf7670Be1b503e8Acd0f075d7aAaF2CC0a2D,4,4
0xABA2ca12CCa4987483115FEA3A3C7f903eAB03a0,4,4
0xFFdA0EE71544467687722f5072b71d692b2668AC,4,4
0x32b7cd97AD1c09b342A92a6F9dE9c6E6fB7811BE,4,4
0x779e76758b5538084136132Bceb6a672caCDB726,4,4
0x1758fbB6102A47C4749587C4828a53A2c8919b40,4,4
0x19273D054247D1f4b66021e63B6171654988CE4E,4,4
0xCa7B0ce9f73164c2fa1ec90826C94Df00796e994,4,4
0xE127f32FfEb84C7c8b2C345F921E25D12767BC92,4,4
0x573544F10b31064A97Ec6c357e602B067C87397E,4,4
0xa5EbE5D1871CC87480B23126FAc13D7161a5c1d9,4,4
0xa86C4Ba9b3B9A7014Bfbf1b2fFb219D62F9829B4,4,4
0x1E6c02d4f25DFF92b8355ABBaC1b9522e0a7E8E9,4,4
0xEBFd859A541eaa5bE3A971D99FdEef24687b5175,3,3
0x771Ced6f58c5e86e1Cddbd0Cc739aF566aCE0A34,3,3
0xa881E6E5a29bC27B52Ce93a6637DBd7208b167C6,3,3
0xF4068c42cc953c87d175583Dd3bf0437150eac1A,3,3
0x78B864A7bcE3888460Ae9793B827cE521AC0d7Bf,3,3
0x704BCB66c15363c00E642C02c6af63457788ED37,3,3
0x4726f45fcc6EcD75d71243503aDa17cD2564A078,3,3
0x7Dc2D6eB6478E0c35Ca49A8D5f2cf0492d2468F5,3,3
0xbef491231527C9EfB47C45603B85eA66439714a5,3,3
0x1ec05eF28A893dcFA4e171c71FA85Af686332152,3,3
0x2f85b537087997E357bFf42eB583EC50bc978a71,3,3
0xFb9C8c0Fc4Aac1dA1dbaf367c9116D423d05cbd9,3,3
0x12Ca58E3544BCB6997260a3CE5E6429516D7f927,3,3
0x043D18c2f37E44CD7a93e059691cEb7706DF129C,3,3
0xA4b6d5D507DCcD52C83aF0AdA8fDDb492a482dA3,3,3
0x476E6953381f00956c32c7262EaD97B977f24695,3,3
0xEA79BAfF34a009B2A77Fb137c7A9541E4703a17B,3,3
0xa741BA9BdA0d9b43521BFa2006e295db80CE864a,3,3
0xFCf9fFff04fFC641bDFbf3ceBf458918b79C4f11,3,3
0x8DDfA61F7F034a7cBc67EE4e9ccC6f9dC4044B40,3,3
0x2aFBDf31aaE1f867A41fEE55e3573E3F136abD80,3,3
0xcB3FC08E52d0016C95e4D8a94B777caA88267F9c,3,3
0x1e7F2ef8BbdE7FCaea03Ba0C83d5D293D066f41c,3,3
0xfcc27B999c8c37FE5a220BC5817CFf95f7C51494,3,3
0x7cf00695D548e791759EC3aCE203F7794308cb76,3,3
0x0473963583c0892aDB527F8f9D7022572ECE1d48,3,3
0xCD68eBBB8158D5D8cB0AF06662850562f1669764,3,3
0xdD303df7E39aFB2b40C99309e68fb451d3F71329,3,3
0x83B6B6c1e69a57F9BD78360e573B68C8abE6E8bA,3,3
0x983cA93101945Af67661348efB710BFB6D4D124b,3,3
0x99845d640C8eDa2374a14193CC4f81Bc513Ea7a2,3,3
0x54a2C980d261D4F0AC0cF0E3B31e0f7D89352BF2,3,3
0x1f04c014A0DCcb1F5d44A84bE6984F581E92F7f9,3,3
0x00001dd5CE4D942dbeb4eF95Abab2f4f0ab51E04,3,3
0x9670A65Ee6BE532e4a26a92861f28E3d0F5EA681,3,3
0x9E328eB19413F5DadEd40A3e7f2d146E748d0Fc3,3,3
0x2f8f3fb734eD219A48c78Ac186aeCD50A356aB4b,3,3
0xeD1F0B1271688F158aBC4E21884f1CA49495cee0,3,3
0x18f771e9057D8c4a15c3e5e7032087fB9632d36A,3,3
0xfe53800327E02D226ad351A5c1863bD182aB45d8,3,3
0xE2EfaE23292Ba94f8878A0674fC075906344c25F,3,3
0xd4027B154E579D984778964b608134B80F606921,3,3
0x0f04037025AEd13faDf17Caa39b64b4B4457EC2f,3,3
0x45db9d3457c2Cb05C4BFc7334a33ceE6e19d508F,3,3
0x985247177aac6bb8a578582251BD4f8b36854228,3,3
0x490e7339d7350ebe1356c3B3b9c6fa82E6350E57,3,3
0x97588aCFeE9bD169f2c9ffcE5ea4FA87C7379451,3,3
0xF384a640De8520A5203eAA0d1c75FF4bB41e7acB,3,3
0xc351526bc096c947e6D924B8DD0faF7dc2D70004,3,3
0x703ac96847133154885b3deE937b22A775C46759,3,3
0xac27daf15b0120E6fCdaC336bBcD23E69dE2A396,3,3
0xaB6a9c245A2f43f0e90B412Be89Fcbb370719780,3,3
0xAE91B3829147ab1cb87d116Ad9131108D8Cb7F5B,3,3
0x170fcD5C519Bcc48068A1b177eDBb6c16B792b88,3,3
0x06CB95c96d87DC61a04377f3ed519006BaA5ad8F,3,3
0x75b9304CAE4aDf405F584d5e4cf1536E4963F4b7,3,3
0x3D7262FD87aAe02A3CD659a27Fa3e41111Edd419,3,3
0xDb1CA41D4FB5583D900566101eFff4CC972e3584,3,3
